                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5126,                 3.0184,                 1.2221,                0.49247,                0.27963,                0.27632,                0.10115,                 2.4638,                 2.4236,                 1.2156,             0.00066406,             0.00066406,             0.00066406
                      2,                  2.282,                  1.907,                 1.1293,                0.60028,                0.36294,                0.39198,                0.15573,                 2.2994,                 1.8395,                 1.1366,             0.00089159,             0.00089159,             0.00089159
                      3,                 2.1223,                 1.5643,                 1.0813,                 0.6998,                0.44384,                0.51195,                0.23365,                 2.0548,                 1.4613,                 1.0588,             0.00067911,             0.00067911,             0.00067911
